Fri Jan  7 22:05:01 2022    output.dat

         9052155 function calls (8694985 primitive calls) in 48.670 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      467    0.004    0.000    0.033    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\parser.py:358(parse_node)
      391    0.004    0.000    0.044    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:700(closeEnough)
     7559    0.004    0.000    0.004    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:103(createMode)
     3052    0.004    0.000    0.067    0.000 <__array_function__ internals>:177(round_)
     1901    0.004    0.000    0.014    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\resolver.py:363(resolve)
    20162    0.003    0.000    0.003    0.000 {built-in method _operator.index}
     3052    0.003    0.000    0.055    0.000 <__array_function__ internals>:177(around)
     3052    0.003    0.000    0.048    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\fromnumeric.py:3257(around)
      976    0.003    0.000    0.011    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:1840(get_token)
     3256    0.003    0.000    0.003    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:97(fillDrawing)
      391    0.003    0.000    0.040    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\utils\qt.py:80(distance)
    20792    0.003    0.000    0.003    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:150(reader)
       24    0.003    0.000    0.004    0.000 {built-in method adjustSize}
     3436    0.003    0.000    0.020    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\_methods.py:42(_amin)
    10457    0.003    0.000    0.003    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\reader.py:135(peek)
     2993    0.003    0.000    0.003    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\resolver.py:388(processing_version)
    17916    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
      221    0.003    0.000    0.049    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:564(boundedMoveShapes)
        2    0.003    0.001    0.112    0.056 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.496.0_x64__qbz5n2kfra8p0\lib\json\__init__.py:120(dump)
      321    0.003    0.000    0.007    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\zoom_widget.py:17(minimumSizeHint)
     1031    0.003    0.000    0.003    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
        1    0.003    0.003    0.164    0.164 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\label_file.py:71(load)
    10307    0.003    0.000    0.003    0.000 {method 'insert' of 'list' objects}
      545    0.003    0.000    0.006    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\events.py:30(__repr__)
     3053    0.003    0.000    0.003    0.000 {built-in method time.time}
      746    0.003    0.000    0.040    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:220(fetch_more_tokens)
      101    0.003    0.000    0.003    0.000 {method 'connect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
        2    0.003    0.001    0.256    0.128 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\label_file.py:168(save)
    10044    0.003    0.000    0.003    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:91(flow_level)
     1774    0.003    0.000    0.003    0.000 {built-in method toolTip}
      744    0.002    0.000    0.006    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\scanner.py:1905(scan_to_next_token)
     1856    0.002    0.000    0.003    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:336(__len__)
     7960    0.002    0.000    0.002    0.000 {built-in method height}
        5    0.002    0.000    0.002    0.000 {built-in method sizeHint}
     2561    0.002    0.000    0.002    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:339(__getitem__)
      123    0.002    0.000    0.002    0.000 {built-in method style}
     5923    0.002    0.000    0.003    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\parser.py:127(scanner)
      459    0.002    0.000    0.002    0.000 {method 'read' of '_io.BytesIO' objects}
      123    0.002    0.000    0.002    0.000 {built-in method draw}
    10081    0.002    0.000    0.002    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numpy\core\numeric.py:1400(_moveaxis_dispatcher)
        2    0.002    0.001    0.309    0.154 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\app.py:1322(saveLabels)
      506    0.002    0.000    0.513    0.001 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\shape.py:333(copy)
      236    0.002    0.000    0.003    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\label_list_widget.py:62(sizeHint)
      291    0.002    0.000    0.003    0.000 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\emitter.py:1011(prepare_tag)
    485/3    0.002    0.000    0.127    0.042 C:\Users\joshu\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\ruamel\yaml\composer.py:111(compose_node)
      820    0.002    0.000    0.003    0.000 C:\Users\joshu\OneDrive\Dokumente\gitprojects\labelme\labelme\widgets\canvas.py:180(unHighlight)
